Object,Parameter,Value,
s_cereals,s_area,3968,
s_veg,s_area,151,
s_farm_woodland_cropland,s_area,30,
s_biomass_cropland,s_area,2,
s_peat_cropland,s_area,2,
s_dairy,s_area,801,
s_rg,s_area,1435,
s_farm_woodland_grassland,s_area,230,
s_biomass_grassland,s_area,2,
s_peat_grassland,s_area,0,
s_forest,s_area,1288,
s_lfa_cereals,s_area,73.5,
s_lfa_veg,s_area,0,
s_lfa_farm_woodland_cropland,s_area,0,
s_lfa_biomass_cropland,s_area,2,
s_lfa_peat_cropland,s_area,0,
s_lfa_dairy,s_area,140,
s_lfa_rg,s_area,1182,
s_lfa_farm_woodland_grassland,s_area,35,
s_lfa_biomass_grassland,s_area,2,
s_lfa_peat_grassland,s_area,2,
s_lfa_forest,s_area,0,
s_cereals,s_price,108,
s_veg,s_price,475,
s_farm_woodland_cropland,s_price,91,
s_biomass_cropland,s_price,75,
s_peat_cropland,s_price,0,
s_dairy,s_price,25,
s_rg,s_price,74,
s_farm_woodland_grassland,s_price,91,
s_biomass_grassland,s_price,75,
s_peat_grassland,s_price,0,
s_forest,s_price,40,
s_lfa_cereals,s_price,108,
s_lfa_veg,s_price,475,
s_lfa_farm_woodland_cropland,s_price,91,
s_lfa_biomass_cropland,s_price,75,
s_lfa_peat_cropland,s_price,0,
s_lfa_dairy,s_price,25,
s_lfa_rg,s_price,74,
s_lfa_farm_woodland_grassland,s_price,91,
s_lfa_biomass_grassland,s_price,75,
s_lfa_peat_grassland,s_price,0,
s_lfa_forest,s_price,0,
s_cereals,s_margin,0.46,
s_veg,s_margin,0.194,
s_farm_woodland_cropland,s_margin,0.7,
s_biomass_cropland,s_margin,0.46,
s_peat_cropland,s_margin,0,
s_dairy,s_margin,0.16,
s_rg,s_margin,0.81,
s_farm_woodland_grassland,s_margin,0.7,
s_biomass_grassland,s_margin,0.46,
s_peat_grassland,s_margin,0,
s_forest,s_margin,0.7,
s_lfa_cereals,s_margin,0.46,
s_lfa_veg,s_margin,0,
s_lfa_farm_woodland_cropland,s_margin,0.7,
s_lfa_biomass_cropland,s_margin,0.46,
s_lfa_peat_cropland,s_margin,0,
s_lfa_dairy,s_margin,0.16,
s_lfa_rg,s_margin,0.81,
s_lfa_farm_woodland_grassland,s_margin,0.7,
s_lfa_biomass_grassland,s_margin,0.46,
s_lfa_peat_grassland,s_margin,0,
s_lfa_forest,s_margin,0.7,
s_cereals,s_CDR,0,
s_veg,s_CDR,0,
s_farm_woodland_cropland,s_CDR,1,
s_biomass_cropland,s_CDR,1,
s_peat_cropland,s_CDR,1,
s_dairy,s_CDR,0,
s_rg,s_CDR,0,
s_farm_woodland_grassland,s_CDR,1,
s_biomass_grassland,s_CDR,1,
s_peat_grassland,s_CDR,1,
s_forest,s_CDR,0,
s_lfa_cereals,s_CDR,0,
s_lfa_veg,s_CDR,0,
s_lfa_farm_woodland_cropland,s_CDR,1,
s_lfa_biomass_cropland,s_CDR,1,
s_lfa_peat_cropland,s_CDR,1,
s_lfa_dairy,s_CDR,0,
s_lfa_rg,s_CDR,0,
s_lfa_farm_woodland_grassland,s_CDR,1,
s_lfa_biomass_grassland,s_CDR,1,
s_lfa_peat_grassland,s_CDR,1,
s_lfa_forest,s_CDR,0,
s_cereals,s_trust_in_govt,10,
s_veg,s_trust_in_govt,10,
s_farm_woodland_cropland,s_trust_in_govt,10,
s_biomass_cropland,s_trust_in_govt,10,
s_peat_cropland,s_trust_in_govt,10,
s_dairy,s_trust_in_govt,10,
s_rg,s_trust_in_govt,10,
s_farm_woodland_grassland,s_trust_in_govt,10,
s_biomass_grassland,s_trust_in_govt,10,
s_peat_grassland,s_trust_in_govt,10,
s_forest,s_trust_in_govt,10,
s_lfa_cereals,s_trust_in_govt,10,
s_lfa_veg,s_trust_in_govt,10,
s_lfa_farm_woodland_cropland,s_trust_in_govt,10,
s_lfa_biomass_cropland,s_trust_in_govt,10,
s_lfa_peat_cropland,s_trust_in_govt,10,
s_lfa_dairy,s_trust_in_govt,10,
s_lfa_rg,s_trust_in_govt,10,
s_lfa_farm_woodland_grassland,s_trust_in_govt,10,
s_lfa_biomass_grassland,s_trust_in_govt,10,
s_lfa_peat_grassland,s_trust_in_govt,10,
s_lfa_forest,s_trust_in_govt,10,
s_cereals,s_env_suit,1,
s_veg,s_env_suit,1,
s_farm_woodland_cropland,s_env_suit,1,
s_biomass_cropland,s_env_suit,1,
s_peat_cropland,s_env_suit,1,
s_dairy,s_env_suit,0.5,
s_rg,s_env_suit,1,
s_farm_woodland_grassland,s_env_suit,1,
s_biomass_grassland,s_env_suit,1,
s_peat_grassland,s_env_suit,1,
s_forest,s_env_suit,1,
s_lfa_cereals,s_env_suit,0,
s_lfa_veg,s_env_suit,0,
s_lfa_farm_woodland_cropland,s_env_suit,1,
s_lfa_peat_cropland,s_env_suit,1,
s_lfa_biomass_cropland,s_env_suit,1,
s_lfa_dairy,s_env_suit,0.2,
s_lfa_rg,s_env_suit,1,
s_lfa_farm_woodland_grassland,s_env_suit,1,
s_lfa_biomass_grassland,s_env_suit,1,
s_lfa_peat_grassland,s_env_suit,1,
s_lfa_forest,s_env_suit,1,
s_biomass_cropland,s_biomass_max,3304,
s_biomass_grassland,s_biomass_max,1965,
s_lfa_biomass_cropland,s_biomass_max,149,
s_lfa_biomass_grassland,s_biomass_max,704,
s_cereals,s_biomass_carbon_flux,6.05,
s_veg,s_biomass_carbon_flux,6.05,
s_farm_woodland_cropland,s_biomass_carbon_flux,3.54,
s_biomass_cropland,s_biomass_carbon_flux,6.05,
s_peat_cropland,s_biomass_carbon_flux,28.45,
s_dairy,s_biomass_carbon_flux,4.68,
s_rg,s_biomass_carbon_flux,4.39,
s_farm_woodland_grassland,s_biomass_carbon_flux,3.54,
s_biomass_grassland,s_biomass_carbon_flux,4.39,
s_peat_grassland,s_biomass_carbon_flux,26.79,
s_forest,s_biomass_carbon_flux,3.54,
s_lfa_cereals,s_biomass_carbon_flux,6.05,
s_lfa_veg,s_biomass_carbon_flux,6.05,
s_lfa_farm_woodland_cropland,s_biomass_carbon_flux,3.54,
s_lfa_biomass_cropland,s_biomass_carbon_flux,6.05,
s_lfa_peat_cropland,s_biomass_carbon_flux,28.45,
s_lfa_dairy,s_biomass_carbon_flux,4.68,
s_lfa_rg,s_biomass_carbon_flux,2.96,
s_lfa_farm_woodland_grassland,s_biomass_carbon_flux,3.54,
s_lfa_biomass_grassland,s_biomass_carbon_flux,3.73,
s_lfa_peat_grassland,s_biomass_carbon_flux,25.36,
s_lfa_forest,s_biomass_carbon_flux,3.54,
s_cereals,s_peat_max,205,
s_veg,s_peat_max,36.00,
s_farm_woodland_cropland,s_peat_max,0.00,
s_biomass_cropland,s_peat_max,0.00,
s_dairy,s_peat_max,9.00,
s_rg,s_peat_max,59.00,
s_farm_woodland_grassland,s_peat_max,0.00,
s_biomass_grassland,s_peat_max,0.00,
s_lfa_cereals,s_peat_max,0.00,
s_lfa_veg,s_peat_max,0.00,
s_lfa_farm_woodland_cropland,s_peat_max,0.00,
s_lfa_biomass_cropland,s_peat_max,0.00,
s_lfa_dairy,s_peat_max,4.00,
s_lfa_rg,s_peat_max,151.00,
s_lfa_farm_woodland_grassland,s_peat_max,0.00,
s_lfa_biomass_grassland,s_peat_max,0.00,
s_cereals,s_available_peat_area,204.00,
s_veg,s_available_peat_area,35.00,
s_farm_woodland_cropland,s_available_peat_area,0.00,
s_biomass_cropland,s_available_peat_area,0.00,
s_dairy,s_available_peat_area,9.00,
s_rg,s_available_peat_area,59.00,
s_farm_woodland_grassland,s_available_peat_area,0.00,
s_biomass_grassland,s_available_peat_area,0.00,
s_lfa_cereals,s_available_peat_area,0.00,
s_lfa_veg,s_available_peat_area,0.00,
s_lfa_farm_woodland_cropland,s_available_peat_area,0.00,
s_lfa_biomass_cropland,s_available_peat_area,0.00,
s_lfa_dairy,s_available_peat_area,4.00,
s_lfa_rg,s_available_peat_area,149.00,
s_lfa_farm_woodland_grassland,s_available_peat_area,0.00,
s_lfa_biomass_grassland,s_available_peat_area,0.00,
