"Year","Area","Price","Yield","Size","Income.by.farm","system","Delta_area"
1970,NA,NA,NA,NA,NA,"Cereals",0
1971,NA,NA,NA,NA,NA,"Cereals",NA
1972,NA,NA,NA,NA,NA,"Cereals",NA
1973,NA,NA,100,NA,NA,"Cereals",NA
1974,NA,NA,106.5,NA,NA,"Cereals",NA
1975,NA,NA,96.9,NA,NA,"Cereals",NA
1976,NA,NA,89.5,NA,NA,"Cereals",NA
1977,NA,NA,110,NA,NA,"Cereals",NA
1978,NA,NA,119.1,NA,NA,"Cereals",NA
1979,NA,NA,123.2,NA,NA,"Cereals",NA
1980,NA,NA,145.5,NA,NA,"Cereals",NA
1981,NA,NA,153.3,NA,NA,"Cereals",NA
1982,NA,NA,175.5,NA,NA,"Cereals",NA
1983,3321,NA,164,NA,NA,"Cereals",NA
1984,3383,NA,212.5,NA,NA,"Cereals",62
1985,3367,NA,188.9,NA,NA,"Cereals",-16
1986,3296,NA,192.3,NA,NA,"Cereals",-71
1987,3256,NA,166.4,NA,NA,"Cereals",-40
1988,3257,94.1,168.4,NA,NA,"Cereals",1
1989,3076,95.2,189,NA,NA,"Cereals",-181
1990,2933,97.3,176.6,NA,NA,"Cereals",-143
1991,2926,101.6,176.3,NA,NA,"Cereals",-7
1992,2523,103.8,176.9,NA,NA,"Cereals",-403
1993,2555,105.9,157.6,NA,NA,"Cereals",32
1994,2666,93.4,162.1,NA,NA,"Cereals",111
1995,2815,99.1,182.9,NA,NA,"Cereals",149
1996,2938,100.1,204.6,NA,NA,"Cereals",123
1997,2853,79.5,188.2,NA,NA,"Cereals",-85
1998,2604,68.1,180.8,NA,NA,"Cereals",-249
1999,2811,66.6,177.1,NA,NA,"Cereals",207
2000,2492,60.2,196.8,NA,NA,"Cereals",-319
2001,2716,65.2,151.5,NA,NA,"Cereals",224
2002,2543,57.4,187.6,NA,NA,"Cereals",-173
2003,2609,63.7,172.5,NA,73600,"Cereals",66
2004,2432,69.4,175.2,NA,41500,"Cereals",-177
2005,2391,59.5,166.3,NA,40300,"Cereals",-41
2006,2408,66.2,165.7,NA,62100,"Cereals",17
2007,2730,96.8,153.6,NA,97000,"Cereals",322
2008,2596,124,200.9,136.3014019,88500,"Cereals",-134
2009,2538,89.6,176.2,146.7913673,57800,"Cereals",-58
2010,2497,100,172.1,155.5301153,104000,"Cereals",-41
2011,2535,144.8,180.8,155.6518918,113700,"Cereals",38
2012,2594,149.7,159.4,159.9273227,81500,"Cereals",59
2013,2492,153.1,159.2,165.8899538,57900,"Cereals",-102
2014,2634,120.6,204.4,167.5887804,52100,"Cereals",142
2015,2573,100,207.9,166.0318228,40700,"Cereals",-61
2016,2617,97.8,184,155.1344504,48500,"Cereals",44
2017,2660,118.1,187.4,158.5759964,71000,"Cereals",43
2018,2598,135.6,167.7,161.1302914,73100,"Cereals",-62
2019,2695,127.2,206.3,167.9948677,66500,"Cereals",97
2020,2526,133.5,143,176.3732257,71400,"Cereals",-169
1970,NA,NA,NA,NA,NA,"Dairy",0
1971,NA,NA,NA,NA,NA,"Dairy",NA
1972,NA,NA,NA,NA,NA,"Dairy",NA
1973,NA,NA,100,NA,NA,"Dairy",NA
1974,NA,NA,97.4,NA,NA,"Dairy",NA
1975,NA,NA,97.5,NA,NA,"Dairy",NA
1976,NA,NA,100.9,NA,NA,"Dairy",NA
1977,NA,NA,106.6,NA,NA,"Dairy",NA
1978,NA,NA,111.5,NA,NA,"Dairy",NA
1979,NA,NA,111.7,NA,NA,"Dairy",NA
1980,NA,NA,112.2,NA,NA,"Dairy",NA
1981,NA,NA,111.4,NA,NA,"Dairy",NA
1982,NA,NA,117.7,NA,NA,"Dairy",NA
1983,NA,NA,121.2,NA,NA,"Dairy",NA
1984,5130,NA,113.9,NA,NA,"Dairy",NA
1985,5044,NA,112.8,NA,NA,"Dairy",-86
1986,5104,NA,114.3,NA,NA,"Dairy",60
1987,5169,NA,108.3,NA,NA,"Dairy",65
1988,5222,70.4,104.6,NA,NA,"Dairy",53
1989,5303,75,103.1,NA,NA,"Dairy",81
1990,5316,75.3,105.1,NA,NA,"Dairy",13
1991,5327,78.8,101.8,NA,NA,"Dairy",11
1992,5279,82.6,101,NA,NA,"Dairy",-48
1993,5274,88.8,101.7,NA,NA,"Dairy",-5
1994,5388,89.9,103.4,NA,NA,"Dairy",114
1995,5375,101.1,99.8,NA,NA,"Dairy",-13
1996,5354,101.5,99.4,NA,NA,"Dairy",-21
1997,5282,89.7,100.4,NA,NA,"Dairy",-72
1998,5364,78.5,98.8,NA,NA,"Dairy",82
1999,5449,74.4,101.2,NA,NA,"Dairy",85
2000,5363,68.7,98.4,NA,NA,"Dairy",-86
2001,5584,78.2,99.6,NA,NA,"Dairy",221
2002,5519,69.4,100.6,NA,NA,"Dairy",-65
2003,5683,73.2,101.8,NA,44900,"Dairy",164
2004,5620,74.9,98.7,NA,47200,"Dairy",-63
2005,5711,74.9,98,NA,46600,"Dairy",91
2006,5967,72.8,97.1,NA,41900,"Dairy",256
2007,5965,84.3,95.2,NA,72600,"Dairy",-2
2008,6036,105.2,93.1,100.8948557,88500,"Dairy",71
2009,5865,96.1,92.1,114.8942031,70400,"Dairy",-171
2010,5925,100,94.4,119.4346662,81300,"Dairy",60
2011,5877,111,95.9,122.9341521,105100,"Dairy",-48
2012,5799,113.8,94.3,123.8584616,61100,"Dairy",-78
2013,5802,128.2,94.9,131.1545105,102700,"Dairy",3
2014,5824,127.7,102.4,129.3035469,96900,"Dairy",22
2015,6078,100,106.1,128.2805953,50400,"Dairy",254
2016,6118,92.4,101.5,128.874021,56200,"Dairy",40
2017,6135,117.4,105.7,128.8372093,132400,"Dairy",17
2018,6178,119.7,106.1,133.1921385,86600,"Dairy",43
2019,6207,118,107.3,135.9280107,89800,"Dairy",29
2020,6118,116.8,107.4,141.9237324,92000,"Dairy",-89
1970,NA,NA,NA,NA,NA,"Rough_grazing",0
1971,NA,NA,NA,NA,NA,"Rough_grazing",NA
1972,NA,NA,NA,NA,NA,"Rough_grazing",NA
1973,NA,NA,100,NA,NA,"Rough_grazing",NA
1974,NA,NA,107,NA,NA,"Rough_grazing",NA
1975,NA,NA,110.7,NA,NA,"Rough_grazing",NA
1976,NA,NA,106.7,NA,NA,"Rough_grazing",NA
1977,NA,NA,97.9,NA,NA,"Rough_grazing",NA
1978,NA,NA,100,NA,NA,"Rough_grazing",NA
1979,NA,NA,102,NA,NA,"Rough_grazing",NA
1980,NA,NA,123.7,NA,NA,"Rough_grazing",NA
1981,NA,NA,112.7,NA,NA,"Rough_grazing",NA
1982,NA,NA,117.1,NA,NA,"Rough_grazing",NA
1983,NA,NA,124.3,NA,NA,"Rough_grazing",NA
1984,4893,NA,124.9,NA,NA,"Rough_grazing",NA
1985,4869,NA,129.8,NA,NA,"Rough_grazing",-24
1986,4823,NA,132,NA,NA,"Rough_grazing",-46
1987,5011,NA,137.4,NA,NA,"Rough_grazing",188
1988,5011,47,148,NA,NA,"Rough_grazing",0
1989,4997,47.9,165.4,NA,NA,"Rough_grazing",-14
1990,4965,44.1,170.2,NA,NA,"Rough_grazing",-32
1991,4950,37.4,172.9,NA,NA,"Rough_grazing",-15
1992,4943,47,166.4,NA,NA,"Rough_grazing",-7
1993,4879,56.2,165,NA,NA,"Rough_grazing",-64
1994,4825,59.8,161.7,NA,NA,"Rough_grazing",-54
1995,4785,60.7,161.9,NA,NA,"Rough_grazing",-40
1996,4760,73.5,143.6,NA,NA,"Rough_grazing",-25
1997,4657,67.3,151.5,NA,NA,"Rough_grazing",-103
1998,4621,49.1,160.4,NA,NA,"Rough_grazing",-36
1999,4575,44.7,160.2,NA,NA,"Rough_grazing",-46
2000,4445,49.7,153.9,NA,NA,"Rough_grazing",-130
2001,4435,51.2,110.5,NA,NA,"Rough_grazing",-10
2002,4488,60,125.8,NA,NA,"Rough_grazing",53
2003,4329,67.8,128.1,NA,25800,"Rough_grazing",-159
2004,4326,67,136.2,NA,22900,"Rough_grazing",-3
2005,4354,61.8,138.2,NA,22300,"Rough_grazing",28
2006,4491,63.4,138.7,NA,14200,"Rough_grazing",137
2007,4319,56.7,138,NA,13900,"Rough_grazing",-172
2008,4359,72.1,134.2,88.55210826,21600,"Rough_grazing",40
2009,4131,91.1,129.9,86.64298428,27600,"Rough_grazing",-228
2010,4055,100,120.2,93.63438086,26900,"Rough_grazing",-76
2011,3981,111.7,127.2,96.1253589,35500,"Rough_grazing",-74
2012,3926,105.9,121.6,95.74487207,23500,"Rough_grazing",-55
2013,3940,104.8,124.2,95.66051724,16900,"Rough_grazing",14
2014,3930,106.9,130.2,94.27158354,16900,"Rough_grazing",-10
2015,3801,100,132.3,93.13257226,21800,"Rough_grazing",-129
2016,3961,106,128,100.727543,30300,"Rough_grazing",160
2017,4003,108,130.7,113.2588582,31300,"Rough_grazing",42
2018,3895,117.5,126,106.1771808,16900,"Rough_grazing",-108
2019,3986,109.1,136,106.2819082,24200,"Rough_grazing",91
2020,3924,124.1,130.2,96.16263269,33200,"Rough_grazing",-62
1970,NA,NA,NA,NA,NA,"Veg",0
1971,NA,NA,NA,NA,NA,"Veg",NA
1972,NA,NA,NA,NA,NA,"Veg",NA
1973,NA,NA,100,NA,NA,"Veg",NA
1974,NA,NA,96.1,NA,NA,"Veg",NA
1975,NA,NA,88.5,NA,NA,"Veg",NA
1976,NA,NA,78.1,NA,NA,"Veg",NA
1977,NA,NA,90.1,NA,NA,"Veg",NA
1978,NA,NA,101.3,NA,NA,"Veg",NA
1979,NA,NA,89.7,NA,NA,"Veg",NA
1980,NA,NA,90.6,NA,NA,"Veg",NA
1981,NA,NA,88.6,NA,NA,"Veg",NA
1982,NA,NA,86.9,NA,NA,"Veg",NA
1983,NA,NA,85.6,NA,NA,"Veg",NA
1984,204,NA,95.1,NA,NA,"Veg",NA
1985,212,NA,94.3,NA,NA,"Veg",8
1986,214,NA,93.4,NA,NA,"Veg",2
1987,200,NA,93.5,NA,NA,"Veg",-14
1988,209,63.3,98.7,NA,NA,"Veg",9
1989,208,63.5,98.4,NA,NA,"Veg",-1
1990,208,68.2,95.3,NA,NA,"Veg",0
1991,204,68.2,96,NA,NA,"Veg",-4
1992,198,60.8,98.6,NA,NA,"Veg",-6
1993,188,63.6,92.9,NA,NA,"Veg",-10
1994,189,66.8,92.3,NA,NA,"Veg",1
1995,187,69.7,86.9,NA,NA,"Veg",-2
1996,189,71.8,91.8,NA,NA,"Veg",2
1997,184,67.2,87.2,NA,NA,"Veg",-5
1998,180,70.1,85.6,NA,NA,"Veg",-4
1999,179,64.6,86.3,NA,NA,"Veg",-1
2000,172,68.1,80.6,NA,NA,"Veg",-7
2001,173,75.6,78,NA,NA,"Veg",1
2002,176,75.2,71,NA,NA,"Veg",3
2003,176,85.4,71.5,NA,67700,"Veg",0
2004,175,76.7,73.4,NA,43600,"Veg",-1
2005,170,76.6,76.6,NA,47300,"Veg",-5
2006,166,81.3,74.1,NA,56000,"Veg",-4
2007,169,88.7,70.4,NA,68600,"Veg",3
2008,170,94.3,72.2,17.36714899,37600,"Veg",1
2009,170,91.7,74.3,28.77411148,62200,"Veg",0
2010,169,100,76.6,33.47633847,59800,"Veg",-1
2011,175,95.7,74.8,34.82876699,64100,"Veg",6
2012,172,106.1,71.1,36.9584155,36000,"Veg",-3
2013,163,107.5,74.7,37.47184926,39700,"Veg",-9
2014,164,100.4,78.7,37.86317073,36400,"Veg",1
2015,174,100,79.1,41.38009661,39400,"Veg",10
2016,162,108.8,78.1,42.32416317,49200,"Veg",-12
2017,168,111.1,78.8,42.96029127,52800,"Veg",6
2018,165,118.8,72.9,40.69180276,56600,"Veg",-3
2019,163,127.2,74.4,41.8547892,44900,"Veg",-2
2020,166,149.8,77.4,44.84551017,52700,"Veg",3
