Year,Commodity,Production,Yield,Net_surplus,Consumption
1984,Cereals,"26,590",6.585314872,1.144,23241
1985,Cereals,"22,471",5.593502168,1.078,20846
1986,Cereals,"24,475",6.079694045,1.233,19851
1987,Cereals,"21,680",5.502084079,1.21,17923
1988,Cereals,"21,110",5.411141671,1.072,19701
1989,Cereals,"22,725",5.86320973,1.212,18755
1990,Cereals,"22,582",6.170654643,1.208,18692
1991,Cereals,"22,635",6.463222636,1.188,19052
1992,Cereals,"22,060",6.323091397,1.136,19412
1993,Cereals,"19,500",6.429134437,1.084,17995
1994,Cereals,"19,960",6.558262702,1.108,18008.82641
1995,Cereals,"21,870",6.87307462,1.128,19385.9409
1996,Cereals,"24,590",7.32063114,1.17,21017.09402
1997,Cereals,"23,534",6.697211155,1.13,20826.54867
1998,Cereals,"22,767",6.660912815,1.15,19797.3913
1999,Cereals,"22,125",7.043935053,1.09,20298.16514
2000,Cereals,"23,989",7.164246679,1.133,21164.28468
2001,Cereals,"18,959",6.290311878,0.972,19511.85
2002,Cereals,"22,965",7.074861368,0.988,23243
2003,Cereals,"21,511",7.029738562,1.13,19042.65
2004,Cereals,"22,029",7.031279923,1.029,21412.5
2005,Cereals,"21,001",7.204706851,1.031,20364
2006,Cereals,"20,838",7.289072338,1.011,20609.25
2007,Cereals,"19,130",6.63217452,0.983,19453.636
2008,Cereals,"24,283",7.416796578,1.037,23414.809
2009,Cereals,"21,618",7.029645544,1.046,20659.783
2010,Cereals,"20,946",6.951907229,1.121,18691.166
2011,Cereals,"21,484",6.984836454,1.056,20338.312
2012,Cereals,"19,515",6.211095198,0.944,20675.199
2013,Cereals,"20,083",6.629905315,0.84,23910.402
2014,Cereals,"24,468",7.696212004,0.935,26163.005
2015,Cereals,"24,734",7.980254243,1.001,24698.16
2016,Cereals,"21,964",7.02241635,1.076,20420.888
2017,Cereals,"23,000",7.229919585,0.909,25309.464
2018,Cereals,"21,085",6.787909752,0.846,24914.646
2019,Cereals,"25,517",7.946048043,0.963,26497.303
2020,Cereals,"18,962",6.241191495,0.878,21590.988
1984,Vegetables,,,,
1985,Vegetables,,,,
1986,Vegetables,,,,
1987,Vegetables,,,,
1988,Vegetables,,,,
1989,Vegetables,,,,
1990,Vegetables,,,,
1991,Vegetables,,,,
1992,Vegetables,,,,
1993,Vegetables,,,,
1994,Vegetables,,,,
1995,Vegetables,,,,
1996,Vegetables,,,,
1997,Vegetables,,,,
1998,Vegetables,,,,
1999,Vegetables,,,,
2000,Vegetables,,,,
2001,Vegetables,,,,
2002,Vegetables,,,,
2003,Vegetables,,,,
2004,Vegetables,,,,
2005,Vegetables,,,,
2006,Vegetables,,,,
2007,Vegetables,,,,
2008,Vegetables,,,,
2009,Vegetables,,,,
2010,Vegetables,"2,782",22.84,0.594,4684.663296
2011,Vegetables,"2,636",20.37,0.566,4653.132766
2012,Vegetables,"2,519",20.27,0.546,4615.060433
2013,Vegetables,"2,656",22.74,0.539,4925.806627
2014,Vegetables,"2,758",23.58,0.558,4939.571276
2015,Vegetables,"2,780",22.46,0.553,5026.667022
2016,Vegetables,"2,591",22.85,0.539,4804.999877
2017,Vegetables,"2,699",22.89,0.568,4753.247358
2018,Vegetables,"2,468",21.14,0.538,4590.653217
2019,Vegetables,"2,524",21.89,0.533,4736.555762
2020,Vegetables,"2,599",21.84,0.553,4703.835488
1984,Sheep,"16,429",,0.733,22408.66771
1985,Sheep,"16,184",,0.811,19954.76101
1986,Sheep,"16,634",,0.832,19997.0551
1987,Sheep,"18,281",,0.896,20392.98093
1988,Sheep,"20,765",,0.929,22340.79911
1989,Sheep,"21,311",,0.888,24001.50302
1990,Sheep,"22,675",,0.979,23152.77789
1991,Sheep,"21,225",,1.066,19919.05795
1992,Sheep,"21,443",,1.159,18495.40095
1993,Sheep,"21,055",,1.115,18883.64132
1994,Sheep,"20,860",,1.104,18887.54728
1995,Sheep,"19,493",,0.992,19659.78242
1996,Sheep,"17,714",,0.945,18738.98081
1997,Sheep,"19,578",,0.985,19882.77237
1998,Sheep,"20,801",,1.013,20529.37167
1999,Sheep,"19,635",,0.977,20104.3936
2000,Sheep,"13,322",,0.781,17068.5077
2001,Sheep,"15,342",,0.853,17987.86733
2002,Sheep,"15,436",,0.857,18012.77571
2003,Sheep,"15,493",,0.851,18208.31668
2004,Sheep,"16,539",,0.896,18457.97198
2005,Sheep,"16,590",,0.881,18826.89963
2006,Sheep,"16,036",,0.844,18989.65508
2007,Sheep,"16,989",,0.891,19074.95689
2008,Sheep,"15,911",,0.894,17802.83972
2009,Sheep,"14,440",,0.916,15762.43383
2010,Sheep,"15,007",,1.006,14920.07592
2011,Sheep,"14,221",,1.009,14100.47407
2012,Sheep,"15,024",,0.999,15043.56371
2013,Sheep,"15,061",,1.013,14860.41545
2014,Sheep,"15,195",,0.928,16374.32417
2015,Sheep,"15,023",,0.924,16251.78309
2016,Sheep,"15,338",,1.01,15188.77449
2017,Sheep,"14,908",,0.998,14938.27087
2018,Sheep,"15,343",,1.094,14026.45727
2019,Sheep,"14,985",,1.109,13511.73975
2020,Sheep,"14,985",,1.109,13511.73975
1973,Dairy,"13,830",,,
1974,Dairy,"13,431",,,
1975,Dairy,"13,407",,,
1976,Dairy,"13,877",,,
1977,Dairy,"14,645",,,
1978,Dairy,"15,340",,,
1979,Dairy,"15,354",,,
1980,Dairy,"15,409",,,
1981,Dairy,"15,305",,,
1982,Dairy,"16,174",,,
1983,Dairy,"16,729",,,
1984,Dairy,"15,722",,,
1985,Dairy,"15,653",,,
1986,Dairy,"15,872",,,
1987,Dairy,"15,062",,,
1988,Dairy,"14,744",,,
1989,Dairy,"14,530",,,
1990,Dairy,"14,816",,,
1991,Dairy,"14,344",,,
1992,Dairy,"14,249",,,
1993,Dairy,"14,310",,,
1994,Dairy,"14,542",,,
1995,Dairy,"14,252",,1,14248.19958
1996,Dairy,"14,249",,1.004,14187.29358
1997,Dairy,"14,419",,1.011,14257.51924
1998,Dairy,"14,213",,1.017,13968.61754
1999,Dairy,"14,580",,1.025,14226.82508
2000,Dairy,"14,071",,1.025,13722.9654
2001,Dairy,"14,284",,1.025,13933.62025
