Year,Area,Price,Yield,LFA_size,Other_size,Overall_size,Income by farm,LFA_frac,Other_frac
1970,,,,,,,,,
1971,,,,,,,,,
1972,,,,,,,,,
1973,,,100,,,,,,
1974,,,96.1,,,,,,
1975,,,88.5,,,,,,
1976,,,78.1,,,,,,
1977,,,90.1,,,,,,
1978,,,101.3,,,,,,
1979,,,89.7,,,,,,
1980,,,90.6,,,,,,
1981,,,88.6,,,,,,
1982,,,86.9,,,,,,
1983,,,85.6,,,,,,
1984,204,,95.1,,,,,,
1985,212,,94.3,,,,,,
1986,214,,93.4,,,,,,
1987,200,,93.5,,,,,,
1988,209,63.3,98.7,,,,,,
1989,208,63.5,98.4,,,,,,
1990,208,68.2,95.3,,,,,,
1991,204,68.2,96,,,,,,
1992,198,60.8,98.6,,,,,,
1993,188,63.6,92.9,,,,,,
1994,189,66.8,92.3,,,,,,
1995,187,69.7,86.9,,,,,,
1996,189,71.8,91.8,,,,,,
1997,184,67.2,87.2,,,,,,
1998,180,70.1,85.6,,,,,,
1999,179,64.6,86.3,,,,,,
2000,172,68.1,80.6,,,,,,
2001,173,75.6,78,,,,,,
2002,176,75.2,71,,,,,,
2003,176,85.4,71.5,,,,67700,,
2004,175,76.7,73.4,,,,43600,,
2005,170,76.6,76.6,,,,47300,,
2006,166,81.3,74.1,,,,56000,,
2007,169,88.7,70.4,,,,68600,,
2008,170,94.3,72.2,,,17.36714899,37600,,
2009,170,91.7,74.3,,,28.77411148,62200,,
2010,169,100,76.6,,,33.47633847,59800,,
2011,175,95.7,74.8,,,34.82876699,64100,,
2012,172,106.1,71.1,,,36.9584155,36000,,
2013,163,107.5,74.7,,,37.47184926,39700,,
2014,164,100.4,78.7,,,37.86317073,36400,,
2015,174,100,79.1,,,41.38009661,39400,,
2016,162,108.8,78.1,,,42.32416317,49200,,
2017,168,111.1,78.8,,,42.96029127,52800,,
2018,165,118.8,72.9,,,40.69180276,56600,,
2019,163,127.2,74.4,,,41.8547892,44900,,
2020,166,149.8,77.4,,,44.84551017,52700,,
