Year,Consumption
1990,15212.14766
1991,15654.49943
1992,16227.60882
1993,15178.25823
1994,15147.91139
1995,16165.25496
1996,17291.45683
1997,17345.8597
1998,16411.40588
1999,17070.45093
2000,17694.53901
2001,16564.58666
2002,19828.26144
2003,15948.28731
2004,18237.75633
2005,17809.70584
2006,17749.00448
2007,16644.33285
2008,19905.15072
2009,17861.74132
2010,15652.33512
2011,17187.86947
2012,17521.06527
2013,19777.07943
2014,22121.21482
2015,21029.79858
2016,17369.39103
2017,21445.50813
2018,20805.78134
2019,22609.03583
2020,18055.1262
