Year,Consumption,Production
1973,,13830
1974,,13431
1975,,13407
1976,,13877
1977,,14645
1978,,15340
1979,,15354
1980,,15409
1981,,15305
1982,,16174
1983,,16729
1984,,15722
1985,,15653
1986,,15872
1987,,15062
1988,,14744
1989,,14530
1990,10293.74578,14820.74816
1991,9943.816798,14348.40641
1992,9804.615818,14253.30656
1993,9794.014758,14314.14888
1994,10057.80519,14546.62593
1995,9770.527202,14256.51359
1996,9853.182809,14311.71799
1997,9740.442976,14583.04678
1998,9416.639075,14461.24093
1999,9658.693939,14942.59093
2000,9180.127991,14428.33996
2001,9219.579019,14642.30084
2002,9260.600261,14795.19573
2003,9304.224885,14875.54659
2004,9045.593621,14506.78306
2005,8766.360208,14657.4371
2006,8397.748064,14511.38224
2007,8252.98331,14117.20964
2008,8025.62872,13850.15295
2009,7983.787319,13496.84856
2010,8257.870562,13789.15348
2011,8294.319836,14055.00188
2012,8161.136872,13791.98173
2013,8199.195242,13854.96361
2014,8769.874287,15028.60018
2015,8843.56219,15553.47394
2016,8325.285904,15052.0535
2017,8570.350188,15798.98065
2018,8566.856319,15892.53015
2019,8686.787309,16053.56296
2020,8642.902487,16032.7152
