Year,Production
1990,212.9109594
1991,208.6412152
1992,176.295331
1993,157.2249578
1994,161.7455206
1995,156.8477878
1996,179.7000367
1997,175.9445554
1998,175.3525117
1999,170.5610933
2000,154.4559516
2001,139.778379
2002,159.0855305
2003,159.744101
2004,171.0941161
2005,168.5992356
2006,173.309768
2007,179.8830946
2008,172.5876244
2009,163.2457776
2010,146.984509
2011,137.8112885
2012,129.4204114
2013,136.7327639
2014,141.5955136
2015,154.9056049
2016,149.3897147
2017,141.0716466
2018,141.9790893
2019,134.2531042
2020,127.1014512
