Year,set_aside
1984,
1985,
1986,
1987,
1988,
1989,
1990,0
1991,22.945
1992,37.2546
1993,449.8328
1994,44.50938
1995,-83.87653
1996,-117.3201898
1997,-178.8990972
1998,9.802037
1999,227.134
2000,-12.452
2001,227.862
2002,-194.513
2003,68.044
2004,-110.4417279
2005,33.98573059
2006,-36.69707943
2007,-70.14092329
2008,-264.04243
2009,71.43453
2010,-81.5411
2011,-10.718
2012,-2.492
2013,101.316
2014,-91.117
2015,32.504
2016,37.381
2017,-16.141
2018,25.345
2019,-34.485
2020,135.253
