Year,s_commodity,s_prod_adjust,s_yield,s_price,s_size,s_subsidy,s_rented
1984,Cereals,,,NA,NA,1.182382501,
1985,Cereals,,,NA,NA,1.188001188,
1986,Cereals,,,NA,NA,1.516990291,
1987,Cereals,,,NA,NA,2.14987715,
1988,Cereals,,,94.1,NA,1.842186061,
1989,Cereals,,,95.2,NA,3.250975293,
1990,Cereals,0.657927307,6.218064739,97.3,156.106566,4.432321855,0.453436604
1991,Cereals,0.657927307,6.514543668,101.6,156.106566,8.885850991,0.448024595
1992,Cereals,0.657927307,6.376176387,103.8,156.106566,59.84938565,0.442612587
1993,Cereals,0.657927307,6.472981969,105.9,156.106566,355.7729941,0.437200578
1994,Cereals,0.657927307,6.59863318,93.4,156.106566,313.2033008,0.431788569
1995,Cereals,0.657927307,6.929889211,99.1,156.106566,392.5399645,0.42637656
1996,Cereals,0.657927307,7.36396302,100.1,156.106566,386.3172226,0.420964551
1997,Cereals,0.657927307,6.731623138,79.5,156.106566,397.1258325,0.415552542
1998,Cereals,0.657927307,6.695821826,68.1,156.106566,409.7542243,0.410140533
1999,Cereals,0.657927307,7.088205538,66.6,156.106566,380.6474564,0.404728525
2000,Cereals,0.657927307,7.218735369,60.2,156.106566,378.812199,0.399316516
2001,Cereals,0.657927307,6.332107001,65.2,156.106566,305.5964654,0.393904507
2002,Cereals,0.657927307,7.134566118,57.4,156.106566,344.8682658,0.388492498
2003,Cereals,0.657927307,7.088678117,63.7,156.106566,355.3085473,0.383080489
2004,Cereals,0.657927307,7.092093858,69.4,156.106566,375.4111842,0.37766848
2005,Cereals,0.657927307,7.257849074,59.5,156.106566,143.2308774,0.372256471
2006,Cereals,0.657927307,7.359541808,66.2,156.106566,145.3511344,0.366844463
2007,Cereals,0.657927307,6.714884439,96.8,156.106566,135.1672721,0.361432454
2008,Cereals,0.657927307,7.509316463,124,156.106566,149.4975258,0.356020445
2009,Cereals,0.657927307,7.107761315,89.6,156.106566,177.5219265,0.341089157
2010,Cereals,0.657927307,7.055944056,100,156.106566,165.0843071,0.326157868
2011,Cereals,0.657927307,7.039997634,144.8,156.2330427,165.3080939,0.328520728
2012,Cereals,0.657927307,6.277039265,149.7,160.3140575,151.2507272,0.324383272
2013,Cereals,0.657927307,6.72462581,153.1,166.459523,155.6289472,0.324959984
2014,Cereals,0.657927307,7.798445966,120.6,160.2572732,135.5568445,0.3165437
2015,Cereals,0.657927307,8.118580211,100,154.0550235,128.3023269,0.307789577
2016,Cereals,0.657927307,7.142028121,97.8,147.8527737,148.5599078,0.299576754
2017,Cereals,0.657927307,7.412787043,118.1,156.0981742,172.3396658,0.300693567
2018,Cereals,0.657927307,6.953076607,135.6,164.3435748,172.8815794,0.300869146
2019,Cereals,0.657927307,8.150827619,127.2,172.5889753,175.6884611,0.29299883
2020,Cereals,0.657927307,6.406053553,133.5,180.8343758,179.1467138,0.291076339
