Year,s_commodity,s_prod_adjust,s_yield,s_size,s_subsidy,s_rented,s_margin
1990,Dairy,1,8.066535159,80.86999777,24.0249003,0.404760033,0.067
1991,Dairy,1,7.61755283,82.97496389,34.8350686,0.40367314,0.067
1992,Dairy,1,7.623318008,85.07993,15.0655449,0.402586247,0.067
1993,Dairy,1,7.708350649,87.18489612,12.80409731,0.401499354,0.067
1994,Dairy,1,9.037361519,89.28986224,10.86850093,0.400412461,0.067
1995,Dairy,1,8.987904032,91.39482835,10.62992126,0.399325568,0.067
1996,Dairy,1,8.979081479,93.49979447,85.62388768,0.398238675,0.067
1997,Dairy,1,8.792806582,95.60476059,66.40507093,0.397151782,0.067
1998,Dairy,1,9.311259076,97.7097267,53.88082123,0.396064889,0.067
1999,Dairy,1,10.2712589,99.81469282,52.77334397,0.394977996,0.067
2000,Dairy,1,9.815673714,101.9196589,44.045677,0.393891102,0.067
2001,Dairy,1,9.938010309,104.0246251,22.95638287,0.392804209,0.067
2002,Dairy,1,9.491999084,106.1295912,23.6834216,0.391717316,0.067
2003,Dairy,1,9.955566595,108.2345573,19.87614862,0.390630423,0.067
2004,Dairy,1,9.043027833,110.3395234,20.41021516,0.38954353,0.067
2005,Dairy,1,9.721156235,112.4444895,154.2241638,0.388456637,0.067
2006,Dairy,1,9.774788272,114.5494556,143.0723626,0.387369744,0.067
2007,Dairy,1,8.741659537,116.6544218,133.1280433,0.386282851,0.067
2008,Dairy,1,8.62242263,118.7593879,149.2056645,0.385195958,0.067
2009,Dairy,1,8.459641167,120.3201851,172.005772,0.389105281,0.067
2010,Dairy,1,9.010264275,122.9693201,162.2954625,0.393014604,0.067
2011,Dairy,1,9.131676524,122.9341521,163.3473096,0.391251901,0.067
2012,Dairy,1,9.298926991,123.8584616,151.2507272,0.384028418,0.067
2013,Dairy,1,9.342250913,131.1545105,155.6289472,0.38369888,0.067
2014,Dairy,1,10.29038993,129.3035469,135.5568445,0.376421911,0.067
2015,Dairy,1,10.73079399,128.2805953,128.3023269,0.371506663,0.067
2016,Dairy,1,10.49080621,128.874021,148.5599078,0.374095686,0.067
2017,Dairy,1,11.02864854,128.8372093,172.3396658,0.37119119,0.067
2018,Dairy,1,11.19318021,133.1921385,172.8815794,0.373963639,0.067
2019,Dairy,1,11.44900176,135.9280107,175.6884611,0.373885902,0.067
2020,Dairy,1,11.53501132,141.9237324,179.1467138,0.371066349,0.067
