Year,s_commodity,s_production,s_prod_adjust,s_yield,s_price,s_size,s_surplus,s_subsidy
1984,Vegetables,,,,,,,
1985,Vegetables,,,,,,,
1986,Vegetables,,,,,,,
1987,Vegetables,,,,,,,
1988,Vegetables,,,,63.3,,,
1989,Vegetables,,,,63.5,,,
1990,Vegetables,,,,68.2,,,
1991,Vegetables,,,,68.2,,,
1992,Vegetables,,,,60.8,,,
1993,Vegetables,,,,63.6,,,
1994,Vegetables,,,,66.8,,,
1995,Vegetables,,,,69.7,,,
1996,Vegetables,,,,71.8,,,
1997,Vegetables,,,,67.2,,,
1998,Vegetables,,,,70.1,,,
1999,Vegetables,,,,64.6,,,
2000,Vegetables,,,,68.1,,,
2001,Vegetables,,,,75.6,,,
2002,Vegetables,,,,75.2,,,
2003,Vegetables,,,,85.4,,,
2004,Vegetables,,,,76.7,,,
2005,Vegetables,,,,76.6,,,
2006,Vegetables,,,,81.3,,,
2007,Vegetables,,,,88.7,,,
2008,Vegetables,,,,94.3,17.36714899,,
2009,Vegetables,,,,91.7,28.77411148,,
2010,Vegetables,"2,782",1.387476636,0,100,33.47633847,0.594,0
2011,Vegetables,"2,636",1.35233308,0,95.7,34.82876699,0.566,0
2012,Vegetables,"2,519",1.384057166,0,106.1,36.9584155,0.546,0
2013,Vegetables,"2,656",1.395564759,0,107.5,37.47184926,0.539,0
2014,Vegetables,"2,758",1.402146483,0,100.4,37.86317073,0.558,0
2015,Vegetables,"2,780",1.405769784,0,100,41.38009661,0.553,0
2016,Vegetables,"2,591",1.428676187,0,108.8,42.32416317,0.539,0
2017,Vegetables,"2,699",1.424794368,0,111.1,42.96029127,0.568,0
2018,Vegetables,"2,468",1.413330632,0,118.8,40.69180276,0.538,0
2019,Vegetables,"2,524",1.413656894,0,127.2,41.8547892,0.533,0
2020,Vegetables,"2,599",1.394936514,0,149.8,44.84551017,0.553,0
