Year,s_production,s_prod_adjust,s_yield,s_price,s_size,s_surplus
1984,"16,429",1,3.357653791,,,0.733
1985,"16,184",1,3.323885808,,,0.811
1986,"16,634",1,3.448890732,,,0.832
1987,"18,281",1,3.648174017,,,0.896
1988,"20,765",1,4.143883456,34.97703521,,0.929
1989,"21,311",1,4.264758855,35.64680823,,0.888
1990,"22,675",1,4.566968781,32.81887772,,0.979
1991,"21,225",1,4.287878788,27.83278972,,1.066
1992,"21,443",1,4.338053813,34.97703521,,1.159
1993,"21,055",1,4.31543349,41.82360381,,1.115
1994,"20,860",1,4.323316062,44.50269587,,1.104
1995,"19,493",1,4.073772205,45.17246888,,0.992
1996,"17,714",1,3.721428571,54.69812953,,0.945
1997,"19,578",1,4.203993988,50.08413766,,0.985
1998,"20,801",1,4.501406622,36.53983891,,1.013
1999,"19,635",1,4.291803279,33.26539306,,0.977
2000,"13,322",1,2.997075366,36.98635426,,0.781
2001,"15,342",1,3.459301015,38.10264261,,0.853
2002,"15,436",1,3.439393939,44.65153431,,0.857
2003,"15,493",1,3.578886579,50.45623377,,0.851
2004,"16,539",1,3.823162275,49.86087998,,0.896
2005,"16,590",1,3.810289389,45.99108034,,0.881
2006,"16,036",1,3.570696949,47.18178793,,0.844
2007,"16,989",1,3.933549433,42.19569993,,0.891
2008,"15,911",1,3.650149117,53.6562604,,0.894
2009,"14,440",1,3.495521665,67.79591293,,0.916
2010,"15,007",1,3.700863132,74.41922386,42.97968723,1.006
2011,"14,221",1,3.572218036,83.12627305,43.62393471,1.009
2012,"15,024",1,3.826795721,78.80995806,44.78682176,0.999
2013,"15,061",1,3.822588832,77.9913466,45.79326257,1.013
2014,"15,195",1,3.866412214,79.5541503,,0.928
2015,"15,023",1,3.952380952,74.41922386,,0.924
2016,"15,338",1,3.872254481,72.8908593,43.18563488,1.01
2017,"14,908",1,3.724206845,74.99329219,,0.998
2018,"15,343",1,3.93915276,72.86710552,,1.094
2019,"14,985",1,3.759407928,74.60794127,,1.109
2020,"14,985",1,3.818807339,74.60794127,43.14639097,1.109
